id;title;description;unit;requester_id;requester_name;status;priority;admin_note;project_stage;stage_notes;update_requested;start_date;end_date;created_at;updated_at;impact;master_proyek_id;urgency;attachment_url;progress_status;monev_summary;pending_reminder_days;google_calendar_event_id;pic;obstacle_notes;has_obstacle
424aaa37-81ae-445c-b401-2a18c1a6a409;Form Gamma Knife;Pembuatan form tindakan gamma knife dan sejenisnya yang memiliki operator dan co-operator;HTO;26303945-9cdc-4afa-9ffe-de7d83ab8fea;tio;approved;low;;planning;"{""evaluation"":"""",""execution"":"""",""followup"":"""",""planning"":""""}";false;2026-05-13;2026-02-11;2026-02-04 01:12:34.650003+00;2026-06-23 14:25:11.35599+00;medium;58a77cef-a368-4bca-8b68-6e783dd37904;medium;;in_progress;Meeting di 22April;30;3rj20o7ild0o20doq8hm5k0j0s;Tio;;false
7c88cb9d-9424-4446-861b-f2ccfe21924b;Verba;"Verba - AI Realtime Transcription APP

Project ini bertujuan untuk meningkatkan efektivitas dokumentasi rapat melalui sistem transkripsi suara real-time dan peringkasan berbasis AI. Berangkat dari kendala pencatatan manual, kualitas audio yang rendah, serta risiko kehilangan informasi penting, sistem ini dikembangkan sebagai decision-support tool yang mampu menangkap percakapan secara berkelanjutan, memperkuat input suara di lingkungan bising, dan menyajikan ringkasan diskusi yang terstruktur. Ruang lingkup pengerjaan mencakup implementasi speech-to-text berkelanjutan, penguatan sensitivitas audio, serta pipeline peringkasan AI yang menghasilkan output terstruktur berupa poin Summary, Key Decisions, Suggestions, Next Steps";HTO;1bd97ef7-4829-4bda-8fe2-2def028584a4;user;approved;low;;planning;"{""evaluation"":"""",""execution"":"""",""followup"":"""",""planning"":""""}";false;2025-12-01;2026-05-23;2026-02-04 03:56:02.778373+00;2026-06-09 03:20:28.793721+00;medium;d8e3c3c6-3cb7-49ba-96ab-bb7738b1a49a;medium;https://ycbpxbqbzbyhuqqrnczp.supabase.co/storage/v1/object/public/project-attachments/1bd97ef7-4829-4bda-8fe2-2def028584a4/1770177360822.pdf;completed;"RANGKUMAN MONITORING DAN EVALUASI PROYEK VERBA (AI REAL-TIME TRANSCRIPTION APP)

Proyek Verba saat ini berada dalam status aktif dengan perkembangan yang sangat positif, mencapai rata-rata progres keseluruhan sebesar 81%. Meskipun secara administratif masih tercatat dalam fase perencanaan, secara teknis proyek telah melampaui tahapan eksekusi dan kini memasuki fase evaluasi. Dari total 7 tugas yang direncanakan, 5 tugas utama telah diselesaikan sepenuhnya, termasuk pengembangan infrastruktur inti transkripsi dan kecerdasan buatan.

Pencapaian utama proyek ini meliputi keberhasilan implementasi Engine Transkripsi Real-time yang mampu menangkap suara secara berkelanjutan serta pengembangan AI Summarization Pipeline untuk menghasilkan output terstruktur. Selain itu, integrasi antara backend dan dashboard frontend telah rampung, yang berarti fungsi utama aplikasi dari input suara hingga tampilan ringkasan diskusi sudah dapat dioperasikan. Saat ini, tim sedang fokus pada tahap Uji Coba Sistem (Alpha/Beta Testing) yang telah mencapai progres 70%.

Tantangan utama yang diidentifikasi adalah memastikan reliabilitas sistem dalam fase pengujian, khususnya pada penguatan sensitivitas audio di lingkungan bising agar akurasi transkripsi tetap terjaga sebelum memasuki tahap rilis penuh. Risiko keterlambatan dapat terjadi jika ditemukan bug mayor pada integrasi akhir atau ketidaksesuaian output AI dengan format ringkasan yang diharapkan. Namun, secara umum proyek berjalan sesuai jalur menuju target finalisasi dan penyebaran sistem.

Rekomendasi tindak lanjut adalah mempercepat penyelesaian fase pengujian sistem untuk mengidentifikasi potensi error lebih awal. Tim disarankan segera menyusun dokumentasi teknis dan panduan pengguna (user manual) sebagai persiapan tahap Finalisasi dan Deployment System. Selain itu, diperlukan pemantauan intensif pada hasil pengujian untuk memastikan fitur Key Decisions dan Next Steps sudah memenuhi standar kualitas pengambilan keputusan sebelum sistem resmi diluncurkan.";30;h2f8uuchjpja7o0cliuls637rk;;;false
84e01752-cfe1-4125-8aea-9c9990c9db7d;Antrol Sutrol BPJS;Antrian Online dan Surat Kontrol BPJS;IPKJ;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;IPKJ;approved;medium;;planning;"{""evaluation"":"""",""execution"":"""",""followup"":"""",""planning"":""""}";false;2026-06-12;2026-07-17;2026-06-24 01:44:55.704911+00;2026-06-24 01:44:55.704911+00;medium;1e1ec17d-6a55-4dd4-a4df-50b16a604568;medium;;in_progress;;30;;Bg Salman;;false
cf74de9f-b2a6-4267-9aa9-c4120f0762e0;Pembuatan form laporan anestesi dengan FS;Pembuatan form anestesi;HTO;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;HTO;approved;medium;;planning;"{""evaluation"":"""",""execution"":"""",""followup"":"""",""planning"":""""}";false;2026-06-23;2026-06-30;2026-06-23 09:09:47.997187+00;2026-06-24 02:21:25.947838+00;medium;a5e5d868-32bd-40aa-b911-556b9d268749;medium;;in_progress;;30;;Kiki;;false
efb258e2-81b3-4c8b-95ae-c976879891b4;Modernisasi Infrastruktur Jaringan RSCM;Asessment, Perbaruan Device Infrastruktur Jaringan RSCM;HTO;26303945-9cdc-4afa-9ffe-de7d83ab8fea;tio;approved;medium;;planning;"{""evaluation"":"""",""execution"":"""",""followup"":"""",""planning"":""""}";false;2025-10-20;2026-12-31;2026-02-04 01:16:30.663286+00;2026-06-24 02:25:31.343292+00;medium;58a77cef-a368-4bca-8b68-6e783dd37904;medium;https://ycbpxbqbzbyhuqqrnczp.supabase.co/storage/v1/object/public/project-attachments/26303945-9cdc-4afa-9ffe-de7d83ab8fea/1770167785062.pdf;on_hold;;30;5nqpd95o6rdsgjc22m97q6rstg;Bg Salman;;false
1c475f43-e369-455e-bfe9-9599ab7a2cd0;Pembuatan SOP AP administrasi pasien pulang RANAP;Pembuatan alur ranap;HTO;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;Shania;approved;medium;;planning;"{""evaluation"":"""",""execution"":"""",""followup"":"""",""planning"":""""}";false;2026-06-09;2026-06-12;2026-06-09 03:53:05.432618+00;2026-06-09 04:35:30.650707+00;medium;d8e3c3c6-3cb7-49ba-96ab-bb7738b1a49a;medium;;in_progress;;30;q5tasq3sfbg93hsoin9ar578o8;Shania;;false
d0c7b51a-b9b4-4c64-9c14-695724d1604c;Remunerasi Embriolog;kesalahan perhitungan remunerasi embriolog;HTO;0d7684e4-a7e3-48f2-a06f-1a5963e0a324;TIO;approved;low;;planning;"{""evaluation"":"""",""execution"":"""",""followup"":"""",""planning"":""""}";false;2026-04-20;2026-05-20;2026-04-20 02:07:43.185395+00;2026-06-24 02:26:02.068192+00;medium;1e1ec17d-6a55-4dd4-a4df-50b16a604568;medium;;in_progress;;30;r52b58os8f1b98hceafj38np14;Dr Qonita;;false
7ccef8d8-f13b-4e9b-911f-859e8622f049;iDRG;Perubahan kode diagnosis kemenkes dari INA-CBGs ke iDRG;HTO;26303945-9cdc-4afa-9ffe-de7d83ab8fea;tio;approved;urgent;;planning;"{""evaluation"":"""",""execution"":"""",""followup"":"""",""planning"":""""}";false;2025-10-20;2025-11-10;2026-02-04 00:57:16.518968+00;2026-02-10 02:14:00.488763+00;medium;a5e5d868-32bd-40aa-b911-556b9d268749;medium;;completed;;30;nacij0u6vicvjob7svhs5ge9uc;;;false
9dab0e20-b695-4976-97e7-d1e491f3d74a;Implementasi Jasa Medika;menggunakan perhitungan jasmed dalam perhitungan remun;HTO;26303945-9cdc-4afa-9ffe-de7d83ab8fea;tio;approved;medium;;planning;"{""evaluation"":"""",""execution"":"""",""followup"":"""",""planning"":""""}";false;2026-06-23;2026-08-01;2026-06-23 09:24:27.278575+00;2026-06-23 09:25:16.579538+00;medium;1e1ec17d-6a55-4dd4-a4df-50b16a604568;high;https://ycbpxbqbzbyhuqqrnczp.supabase.co/storage/v1/object/public/project-attachments/26303945-9cdc-4afa-9ffe-de7d83ab8fea/1782206667009.docx;in_progress;;30;;Bg Salman;;false
48f8b37c-881f-4f0d-a945-2659ebfe3f37;Kesesuaian Sistem dengan Perdirut Mengenai Juknis Penilaian Aktivitas Medik, Pengenaan Tarif dan Pembagian Jasa Medik;Sistem yang saat ini berjalan di HISFS masih memerlukan evaluasi karena belum mengimplementasikan yang tertulis dalam Perdirut. hal ini bisa menyebabkan kebingungan di layanan di karenakan Perdirut yang sudah diseminasikan tidak sesuai dengan yang ada di lapangan.;HTO;cc198c39-16ca-4432-9f7c-b6a1fedaeeec;Aura Narita;approved;medium;;planning;"{""evaluation"":"""",""execution"":"""",""followup"":"""",""planning"":""""}";false;2026-02-02;2026-03-06;2026-02-11 02:04:11.559697+00;2026-04-13 08:01:30.710171+00;medium;a5e5d868-32bd-40aa-b911-556b9d268749;medium;https://ycbpxbqbzbyhuqqrnczp.supabase.co/storage/v1/object/public/project-attachments/cc198c39-16ca-4432-9f7c-b6a1fedaeeec/1770775448212.pdf;completed;;30;fqoi2rnpnrk7armqt6ilqrmeh0;;;false
0cb04e8c-53cb-4911-9f82-d68e94a03572;Platform Komunikasi Internal;"Dalam organisasi yang memiliki banyak direktorat dan unit kerja, komunikasi internal memegang peranan penting dalam memastikan kebijakan, arahan manajemen, serta informasi strategis dapat dipahami dan dijalankan secara selaras. 

Dalam pelaksanaannya, penyampaian informasi sering kali tersebar di berbagai media dan kanal yang berbeda, sehingga menimbulkan informasi yang tidak terpusat, duplikasi penyampaian, serta potensi miskomunikasi antar unit kerja.

Sebagai bentuk penguatan ekosistem komunikasi internal, platform ini terintegrasi dengan sistem Helpdesk melalui fitur “Ajukan Pertanyaan / Tindak Lanjut”, sehingga pengguna tidak hanya menerima informasi secara satu arah, tetapi juga dapat melakukan klarifikasi, konsultasi, atau tindak lanjut secara resmi dan terdokumentasi. Dengan demikian, Platform Komunikasi Internal tidak hanya berfungsi sebagai media informasi, tetapi juga sebagai alat strategis untuk meningkatkan koordinasi, kepatuhan kebijakan, dan efektivitas tata kelola organisasi.";HTO;ae199846-f8f2-4f4b-998d-ea5f88b6a520;Rizq Alhaz thoriq;rejected;medium;Effort terlalu tinggi untuk impact yang rendah;planning;"{""evaluation"":"""",""execution"":"""",""followup"":"""",""planning"":""""}";false;2026-02-10;2026-05-31;2026-02-10 02:58:30.657794+00;2026-04-13 08:12:17.968411+00;medium;d8e3c3c6-3cb7-49ba-96ab-bb7738b1a49a;medium;;in_progress;;30;;;;false
d1f96095-29c0-4af8-aea9-64cdf871d046;HCT;Health Care Technology;KMKP;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;KMKP;approved;medium;;planning;"{""evaluation"":"""",""execution"":"""",""followup"":"""",""planning"":""""}";false;2026-06-01;2026-09-30;2026-06-24 01:47:38.294687+00;2026-06-24 01:47:38.294687+00;medium;d01b1cda-e120-4209-a38d-22f483ee3147;medium;;in_progress;;30;;Bg Salman;;false
